,TPTG,TPCH,TPFC,TPA1,TPA2,TPAB,VLTG,VLCH,VLFC,VLPL,VLAB,IDTG,IDCH,IDFC,IDPL,IDAB,LDTG,LDCH,LDFC,LDPL,LDAB,HDTG,HDCH,HDFC,HDPL,HDA1,HDA2,V1TG,V1CH,V1FC,V1PL,V2TG,V2CH,V2FC,V2PL,V3TG,V3CH,V3FC,V3PL,V4TG,V4CH,V4FC,V4PL,V5TG,V5CH,V5FC,V5PL,V6TG,V6CH,V6FC,V6PL,L1TG,L1CH,L1FC,L1PL,L1AB,L2TG,L2CH,L2FC,L2PL,L2AB,L3TG,L3CH,L3FC,L3PL,L3AB,L4TG,L4CH,L4FC,L4PL,L4AB,L5TG,L5CH,L5FC,L5PL,L5AB,L6TG,L6CH,L6FC,L6PL,L6AB,H1TG,H1CH,H1FC,H1PL,H1A1,H1A2,H2TG,H2CH,H2FC,H2PL,H2A1,H2A2,H3TG,H3CH,H3FC,H3PL,H3A1,H3A2,H4TG,H4CH,H4FC,H4PL,H4A1,H4A2
L3CH,-0.3278,0.3146,0.2667,0.0771,0.0663,0.2885,-0.3353,-0.3073,-0.325,-0.322,-0.3073,-0.2801,-0.1561,-0.0776,-0.0999,-0.1968,0.0522,0.6101,0.5514,0.6255,0.3742,0.0527,0.1995,0.0801,0.123,0.1022,0.0075,-0.306,-0.3276,-0.2378,-0.2202,-0.2065,-0.255,-0.228,-0.2408,-0.1974,-0.2381,-0.2701,-0.157,-0.262,-0.1863,-0.2314,-0.1934,-0.3059,0.0883,-0.2483,-0.114,-0.0699,0.2187,-0.1323,-0.137,0.1355,0.711,0.4112,0.6622,0.6389,0.499,0.905,0.8216,0.9258,0.9088,0.5367,1,0.6918,0.9965,0.989,0.0525,0.353,0.4998,0.3265,0.2921,-0.2353,-0.0657,-0.0176,-0.0749,-0.1057,-0.2611,-0.1972,-0.1152,-0.2302,-0.2558,0.0578,0.1043,0.0717,0.0445,0.0687,0.0406,0.1204,0.1711,-0.0109,-0.0615,-0.0108,-0.0227,-0.0517,0.0084,0.1402,-0.0415,-0.035,-0.0576,-0.0947,0.0929,0.14,0.0178,0.0166,0.0892
L3FC,-0.3941,0.5264,0.5045,0.2739,0.0746,0.3295,-0.4194,-0.3936,-0.3856,-0.4186,-0.384,-0.376,-0.1533,-0.0628,-0.1939,-0.2036,0.0309,0.6991,0.7887,0.707,0.5213,-0.3167,0.3867,0.4627,0.2212,0.2953,0.0286,-0.4655,-0.4185,-0.4428,-0.4617,-0.292,-0.3069,-0.2869,-0.3542,-0.2653,-0.3067,-0.3673,-0.37,-0.3373,-0.2777,-0.3119,-0.33,-0.2786,-0.1588,-0.3222,-0.2939,0.0143,-0.0527,-0.0038,-0.2301,0.0837,0.6177,0.6693,0.599,0.5829,0.4111,0.6283,0.7786,0.5878,0.6154,0.3495,0.6918,1,0.701,0.6877,0.1004,0.4055,0.6755,0.3885,0.3337,-0.2461,-0.0673,0.0571,-0.0703,-0.1088,-0.1892,-0.1648,-0.0121,-0.1669,-0.2298,-0.1588,0.2615,0.3499,0.1716,0.1558,0.0361,-0.2816,0.1974,0.2577,0.0585,0.1132,-0.0922,-0.3603,0.2588,0.4005,0.0872,0.14,-0.0645,-0.3038,0.3187,0.4305,0.1427,0.2734,0.1022
L3PL,-0.3382,0.3123,0.2631,0.1029,0.0815,0.285,-0.3528,-0.3191,-0.3389,-0.3373,-0.3139,-0.2939,-0.1564,-0.0694,-0.1008,-0.1878,0.0846,0.6031,0.5511,0.6289,0.3752,0.0821,0.2144,0.0966,0.16,0.1303,0.0205,-0.3269,-0.3434,-0.2565,-0.2391,-0.214,-0.2615,-0.236,-0.2513,-0.2055,-0.2467,-0.2846,-0.1677,-0.2685,-0.189,-0.2361,-0.196,-0.2969,0.102,-0.2572,-0.1039,-0.0664,0.2254,-0.1652,-0.1439,0.1675,0.7154,0.4198,0.676,0.6525,0.5362,0.8926,0.8098,0.9193,0.902,0.5803,0.9965,0.701,1,0.9917,0.1025,0.3606,0.5168,0.339,0.3059,-0.2168,-0.0734,-0.0189,-0.0789,-0.11,-0.2631,-0.2253,-0.1373,-0.2531,-0.2787,0.0812,0.1112,0.0808,0.0621,0.0822,0.0654,0.1531,0.1942,0.0176,-0.0262,0.023,0.0051,-0.0171,0.0444,0.1722,0.0028,0.008,-0.0309,-0.0847,0.0886,0.1568,0.0325,0.0208,0.0776
L3AB,-0.2829,0.3365,0.3037,0.0588,0.0631,0.3478,-0.2971,-0.2727,-0.292,-0.2904,-0.2657,-0.2478,-0.1055,-0.0397,-0.0476,-0.1364,0.1586,0.6314,0.5816,0.6588,0.4295,0.0939,0.1583,0.0593,0.1134,0.085,0.0112,-0.2697,-0.2838,-0.2001,-0.1839,-0.1643,-0.2105,-0.18,-0.199,-0.1672,-0.2011,-0.2349,-0.1229,-0.2481,-0.1625,-0.2023,-0.1709,-0.2984,0.0672,-0.2399,-0.1208,-0.0263,0.2375,-0.1641,-0.0952,0.2154,0.7129,0.4308,0.6739,0.6699,0.5822,0.8801,0.7984,0.9032,0.9005,0.6344,0.989,0.6877,0.9917,1,0.1605,0.3796,0.5343,0.3584,0.3378,-0.1456,-0.0348,0.0255,-0.0409,-0.0602,-0.2201,-0.1829,-0.1036,-0.213,-0.231,0.0908,0.0818,0.0529,0.0375,0.0579,0.0578,0.1625,0.1519,-0.0061,-0.0501,-0.0007,0.0106,0.0081,0.0041,0.1429,-0.0228,-0.0166,-0.0254,-0.0702,0.04,0.1206,-0.0036,-0.0128,0.0584
L4TG,0.2936,0.3454,0.3762,-0.0125,0.1929,0.5378,0.2412,0.3274,0.2854,0.2868,0.3832,0.1912,0.3583,0.4315,0.4896,0.4505,0.8017,0.3579,0.3636,0.4401,0.5285,0.3492,-0.211,-0.1514,-0.0049,-0.0184,0.2178,0.137,0.2203,0.1876,0.1835,0.3263,0.3457,0.3502,0.3316,0.3351,0.3753,0.3034,0.3483,0.3398,0.4213,0.4215,0.4128,0.2421,0.1831,0.1237,0.2227,0.294,0.0814,-0.3514,0.3604,0.5606,0.1096,0.1992,0.1817,0.2303,0.5806,-0.1906,-0.2038,-0.1473,-0.103,0.7412,0.0525,0.1004,0.1025,0.1605,1,0.5206,0.5708,0.5573,0.6284,0.7625,0.4801,0.5841,0.5035,0.5599,0.3036,0.1343,0.1312,0.15,0.1865,0.1353,-0.2423,-0.1736,-0.1456,-0.1808,0.0442,0.3013,-0.1165,0.0489,0.085,0.012,0.2272,0.4695,0.0865,0.1291,0.195,0.1733,0.3235,0.3806,-0.0357,0.1316,0.154,0.086,0.0957
L4CH,0.0836,0.4352,0.4231,-0.0933,0.2431,0.504,0.1686,0.232,0.1861,0.3493,0.1429,0.0317,0.1116,0.2528,0.3079,0.0859,0.2449,0.5924,0.5548,0.5887,0.5569,0.0505,-0.2034,-0.1316,-0.1876,-0.0994,0.2397,0.0855,0.1892,0.1922,0.2028,0.1894,0.1907,0.188,0.2491,0.1901,0.2888,0.1543,0.1947,0.1013,0.1711,0.231,0.1459,-0.0237,0.2197,0.3584,0.1931,0.4218,0.0445,-0.1874,0.1882,0.0973,0.2373,0.2753,0.2196,0.217,0.2554,0.0874,0.0888,0.0881,0.1083,0.3633,0.353,0.4055,0.3606,0.3796,0.5206,1,0.7619,0.9968,0.9858,0.2825,0.7683,0.6578,0.78,0.6951,-0.0098,0.0844,0.0848,0.0534,0.0666,-0.2517,-0.3243,-0.225,-0.3255,-0.3583,-0.2478,-0.1013,-0.2552,-0.103,-0.155,-0.2285,0.0172,0.2092,-0.0164,0.109,-0.027,-0.0083,0.2643,0.5678,0.5052,0.3091,0.6334,0.3789,0.4989
L4FC,0.0431,0.6609,0.6613,0.108,0.2355,0.6708,0.0461,0.076,0.0838,0.0549,0.1003,-0.0636,0.1334,0.2915,0.2441,0.1079,0.3522,0.8192,0.8163,0.8289,0.7675,-0.1113,-0.0114,0.087,-0.0387,0.0989,0.2391,-0.0471,-0.0027,-0.0092,-0.0131,0.1567,0.1271,0.1515,0.1279,0.1663,0.1509,0.0888,0.1248,0.0733,0.137,0.148,0.1125,-0.0115,-0.0466,-0.1263,-0.0207,0.1771,-0.1253,-0.1473,0.1957,0.1698,0.3774,0.4657,0.3673,0.3685,0.382,0.2024,0.2658,0.1956,0.2263,0.4856,0.4998,0.6755,0.5168,0.5343,0.5708,0.7619,1,0.7514,0.7606,0.321,0.4663,0.6343,0.4554,0.4745,0.0478,0.148,0.2031,0.127,0.113,-0.2524,-0.2105,-0.0708,-0.2326,-0.2832,-0.1865,-0.1299,-0.1318,0.0576,-0.0745,-0.1129,-0.0463,-0.0097,0.1605,0.3101,0.0951,0.1359,0.1336,0.0826,0.4004,0.5194,0.2987,0.4877,0.3944
L4PL,0.0814,0.4181,0.406,-0.077,0.2601,0.4883,0.1628,0.2298,0.1808,0.3478,0.143,0.0304,0.114,0.2563,0.3119,0.0992,0.2701,0.5641,0.5313,0.5681,0.5398,0.0824,-0.195,-0.1251,-0.1603,-0.0816,0.2555,0.0761,0.1852,0.1847,0.1947,0.1856,0.1882,0.1838,0.245,0.1862,0.2879,0.1479,0.1895,0.1033,0.1732,0.2341,0.149,-0.0098,0.2341,0.3668,0.2059,0.4318,0.0601,-0.2132,0.1844,0.1191,0.2201,0.2637,0.2107,0.2095,0.2719,0.0586,0.0603,0.0634,0.0843,0.3848,0.3265,0.3885,0.339,0.3584,0.5573,0.9968,0.7514,1,0.9895,0.3004,0.7667,0.6525,0.7827,0.6959,-0.008,0.0642,0.0675,0.038,0.0524,-0.2259,-0.318,-0.2176,-0.3086,-0.344,-0.2232,-0.0698,-0.2343,-0.077,-0.1218,-0.1974,0.0484,0.2466,0.0114,0.13,0.009,0.0241,0.2955,0.5873,0.4953,0.3101,0.6464,0.3707,0.4872
L4AB,0.1738,0.4417,0.4394,-0.105,0.2685,0.5497,0.2484,0.3123,0.2638,0.4155,0.2312,0.1095,0.1891,0.3241,0.397,0.1761,0.3569,0.5728,0.5372,0.5816,0.5842,0.1171,-0.2537,-0.1674,-0.1896,-0.113,0.2755,0.16,0.2693,0.2649,0.2743,0.2692,0.2783,0.2766,0.3299,0.2625,0.3665,0.2366,0.2752,0.1655,0.2411,0.3067,0.2171,0.0244,0.2173,0.3822,0.2183,0.4637,0.062,-0.2257,0.2715,0.177,0.2048,0.2586,0.1995,0.2108,0.3019,0.0084,0.0024,0.0194,0.044,0.4277,0.2921,0.3337,0.3059,0.3378,0.6284,0.9858,0.7606,0.9895,1,0.4048,0.8008,0.7107,0.8145,0.7509,0.0604,0.1223,0.1113,0.0969,0.1222,-0.2136,-0.3647,-0.2584,-0.3414,-0.382,-0.2231,-0.0336,-0.2744,-0.0911,-0.1272,-0.2167,0.0724,0.2993,-0.0079,0.1109,0.0141,0.0255,0.3213,0.6088,0.4442,0.2917,0.6088,0.3535,0.4839
L5TG,0.6585,0.4339,0.4549,-0.0822,0.1882,0.6655,0.6253,0.6702,0.6506,0.6083,0.6724,0.5267,0.6029,0.5914,0.6624,0.6332,0.8001,0.3168,0.2703,0.3552,0.5786,0.2781,-0.2896,-0.2061,-0.1515,-0.1196,0.2588,0.5332,0.5888,0.5513,0.5441,0.6453,0.6961,0.6633,0.6736,0.6236,0.6725,0.6567,0.6461,0.5622,0.6365,0.6308,0.608,0.3277,0.0909,0.2599,0.235,0.3034,-0.012,-0.1431,0.6782,0.4498,-0.0766,0.0643,-0.0389,0.0331,0.2658,-0.4111,-0.428,-0.371,-0.3508,0.3874,-0.2353,-0.2461,-0.2168,-0.1456,0.7625,0.2825,0.321,0.3004,0.4048,1,0.6524,0.7889,0.6489,0.7732,0.7125,0.6605,0.5995,0.6715,0.7148,0.0782,-0.2515,-0.1906,-0.1971,-0.2408,-0.0084,0.1936,-0.2318,-0.0802,-0.0121,-0.1138,0.187,0.3897,-0.0655,-0.0614,0.0529,0.0166,0.2578,0.3787,-0.086,0.0169,0.0322,0.0776,0.1664
L5CH,0.462,0.4297,0.4167,-0.1664,0.2705,0.59,0.5588,0.5965,0.5635,0.7035,0.4844,0.3759,0.3639,0.4192,0.5269,0.3347,0.3805,0.4348,0.3517,0.4126,0.5492,0.1112,-0.3113,-0.2352,-0.3017,-0.2004,0.3138,0.4654,0.5545,0.5487,0.5578,0.5028,0.5413,0.5045,0.5936,0.4943,0.6138,0.5234,0.5225,0.4009,0.4584,0.5123,0.4258,0.1575,0.22,0.5473,0.2869,0.4794,0.0334,-0.0542,0.5006,0.1016,-0.0464,0.0603,-0.066,-0.0349,0.0304,-0.2767,-0.296,-0.2601,-0.2619,0.1268,-0.0657,-0.0673,-0.0734,-0.0348,0.4801,0.7683,0.4663,0.7667,0.8008,0.6524,1,0.904,0.9973,0.9817,0.4302,0.5742,0.5125,0.5504,0.5784,-0.2088,-0.3523,-0.2783,-0.3598,-0.4048,-0.2404,-0.0857,-0.3526,-0.2048,-0.1884,-0.3003,0.069,0.2738,-0.1453,-0.0821,-0.106,-0.115,0.2848,0.6697,0.4081,0.1599,0.5453,0.3202,0.5328
L5FC,0.5024,0.6017,0.5968,-0.0653,0.298,0.7595,0.549,0.5782,0.5748,0.599,0.5379,0.3835,0.4435,0.5085,0.5703,0.4204,0.5313,0.5956,0.5318,0.5852,0.7342,0.019,-0.2368,-0.1319,-0.2427,-0.1039,0.3514,0.4319,0.5021,0.4785,0.4786,0.5444,0.5786,0.557,0.5875,0.5528,0.6196,0.5654,0.5548,0.4542,0.5261,0.544,0.4855,0.2008,0.0749,0.3026,0.1824,0.3974,-0.0703,-0.059,0.5698,0.1918,0.0115,0.1744,-0.0007,0.0431,0.1037,-0.2648,-0.2415,-0.2506,-0.2433,0.2215,-0.0176,0.0571,-0.0189,0.0255,0.5841,0.6578,0.6343,0.6525,0.7107,0.7889,0.904,1,0.8873,0.9478,0.5654,0.705,0.6822,0.6894,0.7048,-0.2321,-0.3279,-0.2189,-0.3442,-0.4043,-0.2251,-0.1136,-0.3224,-0.1229,-0.1541,-0.2679,0.0448,0.171,-0.0495,0.0387,-0.0366,-0.0339,0.2363,0.4371,0.37,0.3278,0.3804,0.4153,0.5229
L5PL,0.4413,0.4041,0.3913,-0.156,0.2778,0.5609,0.5378,0.5805,0.5419,0.6948,0.465,0.3576,0.3439,0.4043,0.5126,0.3218,0.3855,0.4071,0.3301,0.3913,0.524,0.1348,-0.3019,-0.2276,-0.2768,-0.1872,0.3175,0.4431,0.5386,0.531,0.5402,0.4857,0.5235,0.4846,0.5782,0.4764,0.6004,0.5009,0.5029,0.3864,0.4428,0.4987,0.4107,0.1559,0.2375,0.5614,0.2968,0.4904,0.0553,-0.0897,0.4791,0.1056,-0.0597,0.0471,-0.0738,-0.0439,0.0407,-0.2854,-0.3047,-0.2674,-0.268,0.1426,-0.0749,-0.0703,-0.0789,-0.0409,0.5035,0.78,0.4554,0.7827,0.8145,0.6489,0.9973,0.8873,1,0.9747,0.4159,0.5367,0.4803,0.5172,0.5439,-0.1902,-0.3404,-0.2641,-0.3392,-0.3832,-0.2169,-0.0651,-0.3312,-0.182,-0.1605,-0.2739,0.0945,0.3016,-0.1248,-0.0666,-0.0805,-0.0935,0.3097,0.6932,0.4028,0.1529,0.5675,0.3045,0.5175
L5AB,0.5535,0.4773,0.4719,-0.1598,0.2797,0.6681,0.6288,0.6608,0.6349,0.7316,0.5739,0.4513,0.4557,0.4913,0.6072,0.4342,0.4973,0.4549,0.3721,0.4412,0.6107,0.1363,-0.3319,-0.2454,-0.3005,-0.1979,0.335,0.5281,0.61,0.5972,0.6034,0.5855,0.6264,0.5933,0.6639,0.5745,0.6793,0.6084,0.6036,0.4717,0.5362,0.5801,0.5033,0.2015,0.1756,0.4955,0.2759,0.4663,0.0127,-0.0572,0.5918,0.1837,-0.0513,0.0741,-0.0624,-0.0163,0.0783,-0.3285,-0.3461,-0.3042,-0.3029,0.1824,-0.1057,-0.1088,-0.11,-0.0602,0.5599,0.6951,0.4745,0.6959,0.7509,0.7732,0.9817,0.9478,0.9747,1,0.5285,0.6563,0.5906,0.6365,0.6718,-0.1756,-0.3678,-0.2903,-0.3654,-0.4178,-0.2204,-0.0417,-0.3623,-0.1933,-0.1731,-0.2908,0.091,0.3026,-0.1375,-0.0738,-0.0802,-0.0919,0.2927,0.6247,0.33,0.1606,0.4508,0.3059,0.5041
L6TG,0.6717,0.455,0.4395,0.0954,0.1839,0.5792,0.6269,0.5976,0.6235,0.5434,0.6032,0.5912,0.4959,0.4679,0.5045,0.503,0.6286,0.2469,0.2188,0.2636,0.4822,0.0664,-0.014,0.1004,-0.0289,0.053,0.2461,0.5474,0.576,0.5199,0.5064,0.6142,0.642,0.6211,0.5979,0.6058,0.5933,0.639,0.5448,0.5026,0.5019,0.4838,0.4745,0.2993,-0.0973,0.2559,0.0199,0.3525,-0.1108,0.112,0.659,0.3747,-0.1248,0.0102,-0.1015,-0.0267,0.0135,-0.3118,-0.2481,-0.2973,-0.2965,0.0598,-0.2611,-0.1892,-0.2631,-0.2201,0.3036,-0.0098,0.0478,-0.008,0.0604,0.7125,0.4302,0.5654,0.4159,0.5285,1,0.8337,0.8054,0.8626,0.8689,0.0135,0.0005,0.0611,-0.0291,-0.082,0.0288,-0.0191,-0.1011,0.0128,0.0206,-0.0525,0.1231,0.0934,-0.0051,0.0144,0.0267,0.03,0.1166,0.1741,0.0751,0.1182,0.0601,0.1939,0.215
L6CH,0.6304,0.5549,0.5592,0.0332,0.203,0.6748,0.6386,0.577,0.6247,0.5576,0.5656,0.5277,0.502,0.3863,0.4703,0.4564,0.4388,0.4138,0.3406,0.378,0.5984,-0.0823,-0.0413,0.0565,-0.1636,-0.0181,0.2795,0.5839,0.5678,0.5571,0.5451,0.5855,0.6066,0.5695,0.5917,0.5674,0.5627,0.6187,0.5433,0.4677,0.4799,0.4654,0.4446,0.2385,-0.1313,0.2133,0.0161,0.2001,-0.1165,0.2848,0.636,0.1544,-0.0934,0.0523,-0.124,-0.0446,-0.0924,-0.2477,-0.1929,-0.2613,-0.2512,-0.0947,-0.1972,-0.1648,-0.2253,-0.1829,0.1343,0.0844,0.148,0.0642,0.1223,0.6605,0.5742,0.705,0.5367,0.6563,0.8337,1,0.9509,0.9921,0.982,-0.1205,-0.0482,-0.0043,-0.1262,-0.1755,-0.0951,-0.1668,-0.176,-0.0819,-0.0972,-0.1626,0.0354,-0.042,-0.0846,-0.0199,-0.0896,-0.08,0.0683,0.1139,0.1638,0.1442,0.0477,0.2639,0.3446
L6FC,0.4513,0.5684,0.561,0.1234,0.23,0.6401,0.4553,0.4102,0.4463,0.3813,0.3996,0.3706,0.4147,0.3207,0.3478,0.3626,0.4122,0.4609,0.4239,0.4344,0.6129,-0.1556,0.086,0.1843,-0.0644,0.0834,0.285,0.3811,0.3877,0.3683,0.3539,0.4695,0.477,0.4401,0.4557,0.4639,0.4496,0.474,0.4107,0.3425,0.3879,0.3346,0.327,0.1139,-0.1824,0.0483,-0.0903,0.2095,-0.0544,0.1582,0.4983,0.1081,-0.0474,0.1136,-0.0764,-0.0026,-0.09,-0.1694,-0.0763,-0.1802,-0.1782,-0.0777,-0.1152,-0.0121,-0.1373,-0.1036,0.1312,0.0848,0.2031,0.0675,0.1113,0.5995,0.5125,0.6822,0.4803,0.5906,0.8054,0.9509,1,0.951,0.9175,-0.1444,0.052,0.1197,-0.0402,-0.0859,-0.05,-0.2245,-0.0924,0.0234,-0.0521,-0.1074,0.024,-0.1333,0.0025,0.1052,-0.0493,-0.041,0.0458,0.0233,0.2277,0.2733,0.0861,0.3064,0.3518
L6PL,0.6412,0.5609,0.5564,0.116,0.2567,0.6516,0.6374,0.5703,0.6201,0.5501,0.5627,0.5431,0.4928,0.3845,0.4726,0.464,0.4664,0.383,0.3185,0.3582,0.5805,-0.0426,0.0372,0.1294,-0.0659,0.0664,0.3315,0.5823,0.5668,0.5484,0.5336,0.5734,0.5975,0.5572,0.5758,0.557,0.5516,0.611,0.5267,0.4736,0.4719,0.4637,0.4412,0.2782,-0.1256,0.2232,0.0236,0.2254,-0.0836,0.2745,0.6494,0.18,-0.1081,0.0581,-0.1279,-0.0482,-0.075,-0.2689,-0.2013,-0.2817,-0.272,-0.0889,-0.2302,-0.1669,-0.2531,-0.213,0.15,0.0534,0.127,0.038,0.0969,0.6715,0.5504,0.6894,0.5172,0.6365,0.8626,0.9921,0.951,1,0.9821,-0.0616,0.0293,0.0775,-0.0367,-0.0953,-0.0003,-0.1197,-0.0882,0.0133,0.0075,-0.0643,0.1241,-0.0032,0.0047,0.0421,0.0035,0.008,0.1364,0.1008,0.144,0.149,0.0531,0.2486,0.3122
L6AB,0.7242,0.5357,0.5397,0.0232,0.2292,0.6731,0.7216,0.6647,0.7065,0.6302,0.6476,0.6381,0.58,0.4671,0.563,0.5472,0.5093,0.3524,0.2795,0.3281,0.5721,0.0067,-0.0855,0.0207,-0.1543,-0.029,0.3104,0.6667,0.6671,0.6393,0.6256,0.6501,0.6909,0.6579,0.6614,0.6263,0.6394,0.6961,0.6061,0.5162,0.531,0.5334,0.4998,0.2837,-0.1058,0.2862,0.0583,0.2512,-0.1265,0.278,0.7153,0.2394,-0.1099,0.0415,-0.1263,-0.0414,-0.0639,-0.3194,-0.2744,-0.3152,-0.3131,-0.0638,-0.2558,-0.2298,-0.2787,-0.231,0.1865,0.0666,0.113,0.0524,0.1222,0.7148,0.5784,0.7048,0.5439,0.6718,0.8689,0.982,0.9175,0.9821,1,-0.0674,-0.0801,-0.0361,-0.133,-0.1968,-0.0674,-0.0855,-0.182,-0.0741,-0.0584,-0.1387,0.0938,0.0682,-0.066,-0.0245,-0.0392,-0.034,0.1359,0.1848,0.1188,0.1207,0.051,0.2312,0.3255
H1TG,0.152,-0.0277,0.0208,0.4812,0.2106,-0.1083,0.0676,0.0299,0.0438,0.0307,0.0624,0.2137,0.0935,-0.0009,0.1277,0.1929,0.3204,-0.208,-0.2261,-0.144,-0.1734,0.8282,0.4504,0.3146,0.6033,0.4887,0.1759,0.1286,0.0773,0.1262,0.1204,-0.0184,-0.0224,-0.0254,-0.0277,-0.0232,-0.0166,0.0281,0.062,0.0917,0.0413,0.079,0.1108,0.2054,0.2281,0.11,0.1957,0.1118,0.5239,-0.0677,0.1925,0.3848,0.1613,0.0683,0.2146,0.2397,0.4671,0.17,0.0972,0.2034,0.2067,0.393,0.0578,-0.1588,0.0812,0.0908,0.1353,-0.2517,-0.2524,-0.2259,-0.2136,0.0782,-0.2088,-0.2321,-0.1902,-0.1756,0.0135,-0.1205,-0.1444,-0.0616,-0.0674,1,0.6567,0.5186,0.7402,0.7437,0.8247,0.8638,0.642,0.4084,0.6182,0.6963,0.6555,0.6012,0.2633,0.1442,0.3913,0.3757,0.3425,0.0792,-0.5496,-0.3802,-0.3131,-0.4686,-0.499
H1CH,-0.2185,0.1323,0.1271,0.6925,0.1905,-0.1958,-0.2942,-0.3541,-0.3179,-0.3367,-0.3504,-0.1534,-0.1965,-0.2766,-0.2858,-0.1529,-0.0383,-0.0314,0.036,-0.0039,-0.093,0.2422,0.8525,0.7775,0.7756,0.7089,0.1448,-0.2389,-0.2912,-0.2809,-0.3076,-0.3598,-0.3612,-0.4084,-0.399,-0.3549,-0.3869,-0.3505,-0.3868,-0.2187,-0.2895,-0.2952,-0.2782,0.0389,-0.0185,-0.13,-0.1184,-0.006,0.4365,0.1246,-0.142,0.0332,0.2115,0.2701,0.2308,0.226,0.2261,0.3404,0.442,0.3017,0.309,0.0197,0.1043,0.2615,0.1112,0.0818,-0.2423,-0.3243,-0.2105,-0.318,-0.3647,-0.2515,-0.3523,-0.3279,-0.3404,-0.3678,0.0005,-0.0482,0.052,0.0293,-0.0801,0.6567,1,0.9385,0.9748,0.9688,0.8529,0.3112,0.8298,0.6791,0.701,0.7901,0.5266,-0.0062,0.4807,0.3728,0.4163,0.4054,0.1898,-0.3766,-0.2701,-0.1497,-0.2296,-0.3041,-0.4609
